F_Date,entry_time,exit_time,FO_Symbol,contract,strike,hedge_strike,entry_price_main,entry_price_hedge,exit_price_main,exit_price_hedge,exit_reason,lot_size,pnl,range_high,range_low,sl_points
2025-02-05,2025-02-05T13:36:00,2025-02-05T14:09:00,NIFTY2520624700CE,CE,24700.0,25200.0,0.65,0.45,0.675,0.45,sl_hit,75,-1.8749999999999976,25950.0,24750.0,0.025000000000000022
2025-03-05,2025-03-05T14:01:00,2025-03-05T14:06:00,NIFTY2530622900CE,CE,22900.0,23400.0,0.7,0.4,0.75,0.4,sl_hit,75,-3.7500000000000036,25500.0,23000.0,0.025000000000000022
2025-03-12,2025-03-12T14:50:00,2025-03-12T15:07:00,NIFTY2531323400CE,CE,23400.0,23900.0,0.65,0.5,0.7,0.5,sl_hit,75,-3.749999999999995,25000.0,23450.0,0.025000000000000022
2025-03-26,2025-03-26T14:54:00,2025-03-26T14:59:00,NIFTY25MAR23500CE,CE,23500.0,24000.0,92.3,4.05,93.525,4.125,sl_hit,75,-86.25000000000011,23650.0,23550.0,3.924999999999997
2025-04-08,2025-04-08T13:49:00,2025-04-08T13:57:00,NIFTY2540922550CE,CE,22550.0,23050.0,186.35,30.7,194.175,28.9,sl_hit,75,-721.8750000000002,22700.0,22600.0,11.924999999999997
2025-05-28,2025-05-28T15:00:00,2025-05-28T15:20:00,NIFTY25MAY24750CE,CE,24750.0,25250.0,125.35,13.5,117.15,10.05,time_exit,75,356.2499999999991,24850.0,24800.0,5.975000000000001
2025-06-11,2025-06-11T13:52:00,2025-06-11T13:55:00,NIFTY2561225100CE,CE,25100.0,25600.0,89.8,2.8,95.75,3.05,sl_hit,75,-427.5000000000002,25200.0,25150.0,4.375
2025-07-09,2025-07-09T14:24:00,2025-07-09T14:35:00,NIFTY2571025500CE,CE,25500.0,26000.0,74.95,2.2,62.075,2.125,sl_hit,75,960.0000000000002,25550.0,25550.0,4.25
2025-08-06,2025-08-06T14:35:00,2025-08-06T14:37:00,NIFTY2580724550CE,CE,24550.0,25050.0,81.15,2.25,82.35,2.3,sl_hit,75,-86.24999999999915,24650.0,24600.0,2.1000000000000014
2025-09-08,2025-09-08T14:49:00,2025-09-08T14:50:00,NIFTY2590924800CE,CE,24800.0,25300.0,67.15,1.5,75.15,1.5,sl_hit,75,-600.0,24900.0,24850.0,6.450000000000003
2025-09-22,2025-09-22T14:31:00,2025-09-22T14:48:00,NIFTY2592325250CE,CE,25250.0,25750.0,62.15,1.95,43.5,2.45,sl_hit,75,1436.25,25350.0,25300.0,2.8500000000000014
2025-11-10,2025-11-10T13:44:00,2025-11-10T13:48:00,NIFTY25N1125600CE,CE,25600.0,26100.0,69.25,1.5,75.575,1.45,sl_hit,75,-478.1250000000002,25650.0,25650.0,5.799999999999997
